author,summary,subject,titulo,genero,categories,emocion,Combined
"Jefferson, Thomas, 1743-1826","""The Declaration of Independence of the United States of America"" by Thomas Jefferson is a historic and foundational document penned in the late 18th century during the American Revolutionary period. This work primarily serves as a formal statement declaring the thirteen American colonies' separation from British rule, asserting their right to self-governance and independence. It encapsulates the philosophical underpinnings of democracy, highlighting fundamental human rights and the social contract between the government and the governed.  The text begins with a powerful introduction that outlines the principles of equality and the unalienable rights of individuals to life, liberty, and the pursuit of happiness. It details the various grievances against King George III, illustrating how his actions have eroded the colonists' rights and justified their decision to seek independence. By listing these grievances, the document seeks to assert the colonies' legitimate claim to self-determination. The Declaration culminates in a solemn proclamation of independence, stating that the colonies are entitled to be free and independent states, free from British authority and capable of forming their own alliances, levying war, and engaging in commerce. The Declaration's closing emphasizes the signers' mutual pledge to support this cause, reinforcing the commitment of the colonists to their newly proclaimed liberty. ","United States -- History -- Revolution, 1775-1783 -- Sources United States. Declaration of Independence",The Declaration of Independence of the United States of America,historia,"{'DATE', 'GPE'}",enojo,"Jefferson, Thomas, 1743-1826 ""The Declaration of Independence of the United States of America"" by Thomas Jefferson is a historic and foundational document penned in the late 18th century during the American Revolutionary period. This work primarily serves as a formal statement declaring the thirteen American colonies' separation from British rule, asserting their right to self-governance and independence. It encapsulates the philosophical underpinnings of democracy, highlighting fundamental human rights and the social contract between the government and the governed.  The text begins with a powerful introduction that outlines the principles of equality and the unalienable rights of individuals to life, liberty, and the pursuit of happiness. It details the various grievances against King George III, illustrating how his actions have eroded the colonists' rights and justified their decision to seek independence. By listing these grievances, the document seeks to assert the colonies' legitimate claim to self-determination. The Declaration culminates in a solemn proclamation of independence, stating that the colonies are entitled to be free and independent states, free from British authority and capable of forming their own alliances, levying war, and engaging in commerce. The Declaration's closing emphasizes the signers' mutual pledge to support this cause, reinforcing the commitment of the colonists to their newly proclaimed liberty.  United States -- History -- Revolution, 1775-1783 -- Sources United States. Declaration of Independence"
United States,"""The United States Bill of Rights"" by United States is a foundational legal document, crafted in the late 18th century during the period of the early republic. It consists of the first ten amendments to the United States Constitution and serves as a crucial protection of individual liberties and rights. The book outlines specific prohibitions on governmental power, addressing the rights of citizens and the parameters within which the government can operate.  The Bill of Rights establishes essential freedoms, including the freedom of speech, the right to bear arms, protections against unreasonable searches, and the right to fair legal proceedings. Each amendment articulates fundamental rights, such as the protection from self-incrimination and guarantees of a speedy trial, which are designed to ensure justice and equity. It emphasizes the significance of civil liberties and sets limits on governmental authority, reinforcing the principle that certain rights are inherent to the people and cannot be infringed upon. Overall, the document is pivotal in defining the relationship between the state and its citizens, serving as a cornerstone of American democracy. ",Civil rights -- United States -- Sources United States. Constitution. 1st-10th Amendments,The United States Bill of Rights,interes general,{'GPE'},alegría,"United States ""The United States Bill of Rights"" by United States is a foundational legal document, crafted in the late 18th century during the period of the early republic. It consists of the first ten amendments to the United States Constitution and serves as a crucial protection of individual liberties and rights. The book outlines specific prohibitions on governmental power, addressing the rights of citizens and the parameters within which the government can operate.  The Bill of Rights establishes essential freedoms, including the freedom of speech, the right to bear arms, protections against unreasonable searches, and the right to fair legal proceedings. Each amendment articulates fundamental rights, such as the protection from self-incrimination and guarantees of a speedy trial, which are designed to ensure justice and equity. It emphasizes the significance of civil liberties and sets limits on governmental authority, reinforcing the principle that certain rights are inherent to the people and cannot be infringed upon. Overall, the document is pivotal in defining the relationship between the state and its citizens, serving as a cornerstone of American democracy.  Civil rights -- United States -- Sources United States. Constitution. 1st-10th Amendments"
"Kennedy, John F. (John Fitzgerald), 1917-1963","""John F. Kennedy's Inaugural Address"" by John F. Kennedy is a historical speech that was delivered during the early 1960s, a significant time during the Cold War. This address marks the transition of power within the U.S. government and encapsulates themes of freedom, responsibility, and unity in the face of global challenges. The likely topic of the book revolves around the ideals of democracy and international cooperation, as well as a call to action for both citizens and nations.  In this powerful address, Kennedy emphasizes the importance of freedom, urging citizens to recognize their role in fostering and protecting liberty. He speaks to the challenges faced by humanity—tyranny, poverty, disease, and war—and calls for a collaborative effort among nations towards a better future. He offers a solemn pledge of support to allies and a commitment to assist oppressed peoples, emphasizing that true progress can be achieved through mutual cooperation and sacrifice. The address culminates in the famous call to action, asking individuals not what their country can do for them, but what they can do for their country, creating a shared sense of purpose among all citizens of the world. ",United States -- Foreign relations -- 1961-1963 Presidents -- United States -- Inaugural addresses,John F. Kennedy's Inaugural Address,interes general,"{'DATE', 'GPE'}",alegría,"Kennedy, John F. (John Fitzgerald), 1917-1963 ""John F. Kennedy's Inaugural Address"" by John F. Kennedy is a historical speech that was delivered during the early 1960s, a significant time during the Cold War. This address marks the transition of power within the U.S. government and encapsulates themes of freedom, responsibility, and unity in the face of global challenges. The likely topic of the book revolves around the ideals of democracy and international cooperation, as well as a call to action for both citizens and nations.  In this powerful address, Kennedy emphasizes the importance of freedom, urging citizens to recognize their role in fostering and protecting liberty. He speaks to the challenges faced by humanity—tyranny, poverty, disease, and war—and calls for a collaborative effort among nations towards a better future. He offers a solemn pledge of support to allies and a commitment to assist oppressed peoples, emphasizing that true progress can be achieved through mutual cooperation and sacrifice. The address culminates in the famous call to action, asking individuals not what their country can do for them, but what they can do for their country, creating a shared sense of purpose among all citizens of the world.  United States -- Foreign relations -- 1961-1963 Presidents -- United States -- Inaugural addresses"
"Lincoln, Abraham, 1809-1865","""Lincoln's Gettysburg Address"" by Abraham Lincoln is a historical account of one of the most significant speeches in American history, delivered during the mid-19th century. The book focuses on the themes of liberty, equality, and national unity in the context of the Civil War. It reflects on the sacrifices made by soldiers and the overarching ideals of democracy and freedom.  In this powerful address made on November 19, 1863, at the dedication of a military cemetery in Gettysburg, Lincoln commemorates the soldiers who fought and died in the battle. He emphasizes the importance of their sacrifices in the struggle for a nation founded on the principles of equality and liberty. Lincoln calls for a renewed commitment from the living to continue their work, advocating for a government that truly represents the people. The speech concludes with a hopeful vision of a nation reborn, underscoring the idea that the values of democracy must endure for future generations. ","Consecration of cemeteries -- Pennsylvania -- Gettysburg Soldiers' National Cemetery (Gettysburg, Pa.) Lincoln, Abraham, 1809-1865. Gettysburg address",Lincoln's Gettysburg Address,interes general,"{'DATE', 'PERSON', 'GPE', 'ORG'}",alegría,"Lincoln, Abraham, 1809-1865 ""Lincoln's Gettysburg Address"" by Abraham Lincoln is a historical account of one of the most significant speeches in American history, delivered during the mid-19th century. The book focuses on the themes of liberty, equality, and national unity in the context of the Civil War. It reflects on the sacrifices made by soldiers and the overarching ideals of democracy and freedom.  In this powerful address made on November 19, 1863, at the dedication of a military cemetery in Gettysburg, Lincoln commemorates the soldiers who fought and died in the battle. He emphasizes the importance of their sacrifices in the struggle for a nation founded on the principles of equality and liberty. Lincoln calls for a renewed commitment from the living to continue their work, advocating for a government that truly represents the people. The speech concludes with a hopeful vision of a nation reborn, underscoring the idea that the values of democracy must endure for future generations.  Consecration of cemeteries -- Pennsylvania -- Gettysburg Soldiers' National Cemetery (Gettysburg, Pa.) Lincoln, Abraham, 1809-1865. Gettysburg address"
United States,"""The United States Constitution"" by United States is a historically significant document written in the late 18th century. It is not only a foundational legal text but also serves as a framework for America's governance, outlining the structure and powers of government and establishing the rights of citizens. The book centers on key topics such as federalism, the separation of powers, and the checks and balances that are integral to American democracy.  The Constitution is organized into several articles, each detailing specific aspects of government operation. It begins with a preamble that states the purpose of the document— to create a more unified and just society. It addresses the legislative branch in Article I, delineating the powers and responsibilities of Congress, followed by the executive branch in Article II, which defines the presidency's powers. Article III establishes the judiciary, creating a system of federal courts. The Constitution also includes provisions for states' relations and describes the process for amendments, ensuring adaptability over time. Ultimately, this document not only serves as a blueprint for political structure but also embodies the principles of democracy and rule of law that continue to govern the United States today. ",United States -- Politics and government -- 1783-1789 -- Sources United States. Constitution,The United States Constitution,historia,"{'DATE', 'GPE'}",enojo,"United States ""The United States Constitution"" by United States is a historically significant document written in the late 18th century. It is not only a foundational legal text but also serves as a framework for America's governance, outlining the structure and powers of government and establishing the rights of citizens. The book centers on key topics such as federalism, the separation of powers, and the checks and balances that are integral to American democracy.  The Constitution is organized into several articles, each detailing specific aspects of government operation. It begins with a preamble that states the purpose of the document— to create a more unified and just society. It addresses the legislative branch in Article I, delineating the powers and responsibilities of Congress, followed by the executive branch in Article II, which defines the presidency's powers. Article III establishes the judiciary, creating a system of federal courts. The Constitution also includes provisions for states' relations and describes the process for amendments, ensuring adaptability over time. Ultimately, this document not only serves as a blueprint for political structure but also embodies the principles of democracy and rule of law that continue to govern the United States today.  United States -- Politics and government -- 1783-1789 -- Sources United States. Constitution"
"Henry, Patrick, 1736-1799","""Give Me Liberty or Give Me Death"" by Patrick Henry is a historic speech delivered in 1775, which serves as an impassioned call to arms during the American Revolution. The text falls within the genre of oratory, representing the fervent political discourse of the time. This pivotal moment reflects the prelude to conflict between the American colonies and British rule, highlighting the serious issues surrounding freedom and tyranny.  In his speech, Henry passionately argues for the necessity of fighting against British oppression, cautioning his fellow countrymen against the false hope of reconciliation. He emphasizes the futility of peaceful negotiations and presents the situation as a stark choice between liberty and slavery. By invoking powerful imagery and appeals to human experience, he urges his audience to recognize the immediacy of the threat and the need for an armed response. The concluding declaration—""Give me liberty or give me death!""—serves as a rallying cry for those seeking independence, encapsulating the determination and urgency of the revolutionary spirit. ","Speeches, addresses, etc., American United States -- Politics and government -- 1775-1783 -- Sources Virginia -- Politics and government -- 1775-1783 -- Sources",Give Me Liberty or Give Me Death,historia,"{'DATE', 'NORP', 'GPE'}",enojo,"Henry, Patrick, 1736-1799 ""Give Me Liberty or Give Me Death"" by Patrick Henry is a historic speech delivered in 1775, which serves as an impassioned call to arms during the American Revolution. The text falls within the genre of oratory, representing the fervent political discourse of the time. This pivotal moment reflects the prelude to conflict between the American colonies and British rule, highlighting the serious issues surrounding freedom and tyranny.  In his speech, Henry passionately argues for the necessity of fighting against British oppression, cautioning his fellow countrymen against the false hope of reconciliation. He emphasizes the futility of peaceful negotiations and presents the situation as a stark choice between liberty and slavery. By invoking powerful imagery and appeals to human experience, he urges his audience to recognize the immediacy of the threat and the need for an armed response. The concluding declaration—""Give me liberty or give me death!""—serves as a rallying cry for those seeking independence, encapsulating the determination and urgency of the revolutionary spirit.  Speeches, addresses, etc., American United States -- Politics and government -- 1775-1783 -- Sources Virginia -- Politics and government -- 1775-1783 -- Sources"
anonymous,"""The Mayflower Compact"" is a foundational document authored in 1620, representing a significant occurrence during the early colonial period. This historical account details the agreement made by the Pilgrims aboard the Mayflower, as they sought to establish a new colony in what is now America. The compact illustrates the desire for self-governance, unity, and the establishment of a civil society based on mutual consent and responsibility among the settlers.  The document begins with a declaration in the name of God and states the intent to form a civil body politic for the better ordering and governance of the new colony. It emphasizes the collective commitment of the signers to create and abide by equitable laws that promote the common good. The signatories, who represent various individuals from different backgrounds, affirm their loyalty to King James and establish a foundation for democratic governance, setting a precedent for future self-rule in America. The Mayflower Compact symbolizes the emergence of a distinct American identity rooted in self-governance and shared values. ","Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources Pilgrims (New Plymouth Colony) Mayflower Compact (1620)",The Mayflower Compact,historia,"{'DATE', 'GPE'}",enojo,"anonymous ""The Mayflower Compact"" is a foundational document authored in 1620, representing a significant occurrence during the early colonial period. This historical account details the agreement made by the Pilgrims aboard the Mayflower, as they sought to establish a new colony in what is now America. The compact illustrates the desire for self-governance, unity, and the establishment of a civil society based on mutual consent and responsibility among the settlers.  The document begins with a declaration in the name of God and states the intent to form a civil body politic for the better ordering and governance of the new colony. It emphasizes the collective commitment of the signers to create and abide by equitable laws that promote the common good. The signatories, who represent various individuals from different backgrounds, affirm their loyalty to King James and establish a foundation for democratic governance, setting a precedent for future self-rule in America. The Mayflower Compact symbolizes the emergence of a distinct American identity rooted in self-governance and shared values.  Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources Pilgrims (New Plymouth Colony) Mayflower Compact (1620)"
"Lincoln, Abraham, 1809-1865","""Abraham Lincoln's Second Inaugural Address"" by Abraham Lincoln is a historical speech delivered in the mid-19th century, specifically during the tumultuous period of the American Civil War. This book is a transcription of Lincoln's address, which conveys his thoughts and sentiments as he began his second term as President. The primary topic revolves around the enduring conflict of the Civil War, the institution of slavery, and the hope for national healing.  In the address, Lincoln reflects on the Civil War's grim realities and acknowledges the deep-rooted issues that led to the conflict, particularly slavery. He emphasizes that neither side anticipated the scale or duration of the war, and he poignantley grapples with the moral implications of asking divine assistance in a struggle rooted in such an offense. Lincoln articulates a vision of reconciliation and urges the nation to move forward with ""malice toward none"" and ""charity for all,"" underscoring the need to bind up the nation's wounds and strive for lasting peace. Through this powerful speech, he seeks to heal a fractured country, drawing upon a sense of shared humanity and a commitment to justice. ",United States -- Politics and government -- 1861-1865 Presidents -- United States -- Inaugural addresses,Abraham Lincoln's Second Inaugural Address,historia,"{'DATE', 'GPE'}",enojo,"Lincoln, Abraham, 1809-1865 ""Abraham Lincoln's Second Inaugural Address"" by Abraham Lincoln is a historical speech delivered in the mid-19th century, specifically during the tumultuous period of the American Civil War. This book is a transcription of Lincoln's address, which conveys his thoughts and sentiments as he began his second term as President. The primary topic revolves around the enduring conflict of the Civil War, the institution of slavery, and the hope for national healing.  In the address, Lincoln reflects on the Civil War's grim realities and acknowledges the deep-rooted issues that led to the conflict, particularly slavery. He emphasizes that neither side anticipated the scale or duration of the war, and he poignantley grapples with the moral implications of asking divine assistance in a struggle rooted in such an offense. Lincoln articulates a vision of reconciliation and urges the nation to move forward with ""malice toward none"" and ""charity for all,"" underscoring the need to bind up the nation's wounds and strive for lasting peace. Through this powerful speech, he seeks to heal a fractured country, drawing upon a sense of shared humanity and a commitment to justice.  United States -- Politics and government -- 1861-1865 Presidents -- United States -- Inaugural addresses"
"Lincoln, Abraham, 1809-1865","""Abraham Lincoln's First Inaugural Address"" by Abraham Lincoln is a historical document delivered as a speech on March 4, 1861. This address takes place during a tumultuous period in American history, specifically the lead-up to the Civil War. In this speech, Lincoln aims to reassure a divided nation, emphasizing the importance of the Union and the continuity of the Constitution while addressing the contentious issues surrounding slavery.  In his address, Lincoln acknowledges the fears of Southern states regarding the protection of their rights and property, particularly concerning slavery. He firmly asserts that he has no intention to interfere with the institution of slavery where it already exists and advocates for the peaceful resolution of conflicts. Lincoln discusses the nature of the Union, arguing that it is perpetual and cannot be dissolved by individual states. By appealing to unity, he calls for patience and a commitment to dialogue while reminding listeners that civil war would only arise from aggression. The address ends on a hopeful note, urging Americans to recognize their shared bonds and to seek reconciliation rather than division, famously invoking ""the better angels of our nature."" ",United States -- Politics and government -- 1861-1865 Presidents -- United States -- Inaugural addresses,Abraham Lincoln's First Inaugural Address,historia,"{'DATE', 'GPE'}",enojo,"Lincoln, Abraham, 1809-1865 ""Abraham Lincoln's First Inaugural Address"" by Abraham Lincoln is a historical document delivered as a speech on March 4, 1861. This address takes place during a tumultuous period in American history, specifically the lead-up to the Civil War. In this speech, Lincoln aims to reassure a divided nation, emphasizing the importance of the Union and the continuity of the Constitution while addressing the contentious issues surrounding slavery.  In his address, Lincoln acknowledges the fears of Southern states regarding the protection of their rights and property, particularly concerning slavery. He firmly asserts that he has no intention to interfere with the institution of slavery where it already exists and advocates for the peaceful resolution of conflicts. Lincoln discusses the nature of the Union, arguing that it is perpetual and cannot be dissolved by individual states. By appealing to unity, he calls for patience and a commitment to dialogue while reminding listeners that civil war would only arise from aggression. The address ends on a hopeful note, urging Americans to recognize their shared bonds and to seek reconciliation rather than division, famously invoking ""the better angels of our nature.""  United States -- Politics and government -- 1861-1865 Presidents -- United States -- Inaugural addresses"
anonymous,"""The King James Version of the Bible"" is a religious text and translation of the Christian scriptures established in the early 17th century. The opening portion introduces key texts within both the Old and New Testaments, beginning with the creation narrative in Genesis. The overall theme revolves around the creation of the world, the establishment of humanity, and the unfolding of religious history through key figures, genealogies, and covenantal relationships with God.  The beginning of this esteemed version starts with the foundational account of creation, where God forms the heavens and the earth, culminating in the creation of humanity in His image. This narrative sets the stage for pivotal stories such as Adam and Eve's life in the Garden of Eden, the story of Cain and Abel, and the rise of Noah in the context of impending judgment and redemption through the Ark. The narrative is steeped in theological significance, exploring themes of obedience, sin, and divine promise, establishing fundamental foundations for both Judaism and Christianity. ",Bible,The King James Version of the Bible,interes general,{'WORK_OF_ART'},alegría,"anonymous ""The King James Version of the Bible"" is a religious text and translation of the Christian scriptures established in the early 17th century. The opening portion introduces key texts within both the Old and New Testaments, beginning with the creation narrative in Genesis. The overall theme revolves around the creation of the world, the establishment of humanity, and the unfolding of religious history through key figures, genealogies, and covenantal relationships with God.  The beginning of this esteemed version starts with the foundational account of creation, where God forms the heavens and the earth, culminating in the creation of humanity in His image. This narrative sets the stage for pivotal stories such as Adam and Eve's life in the Garden of Eden, the story of Cain and Abel, and the rise of Noah in the context of impending judgment and redemption through the Ark. The narrative is steeped in theological significance, exploring themes of obedience, sin, and divine promise, establishing fundamental foundations for both Judaism and Christianity.  Bible"
